Active Learning Iteration,Metric,Value,Run,Set,Model
0,MCC,0.12660513463509548,0,train,Generative
0,Precision,0.3033175355450237,0,train,Generative
0,Recall,0.37209302325581395,0,train,Generative
0,Accuracy,0.6788413098236776,0,train,Generative
1,MCC,0.5454796791302933,0,train,Generative
1,Precision,0.8974358974358975,0,train,Generative
1,Recall,0.4069767441860465,0,train,Generative
1,Accuracy,0.8614609571788413,0,train,Generative
2,MCC,-0.04296326353271999,0,train,Generative
2,Precision,0.17,0,train,Generative
2,Recall,0.09883720930232558,0,train,Generative
2,Accuracy,0.7002518891687658,0,train,Generative
3,MCC,-0.04296326353271999,0,train,Generative
3,Precision,0.17,0,train,Generative
3,Recall,0.09883720930232558,0,train,Generative
3,Accuracy,0.7002518891687658,0,train,Generative
4,MCC,0.5183822879152591,0,train,Generative
4,Precision,0.7857142857142857,0,train,Generative
4,Recall,0.4476744186046512,0,train,Generative
4,Accuracy,0.853904282115869,0,train,Generative
5,MCC,0.5183822879152591,0,train,Generative
5,Precision,0.7857142857142857,0,train,Generative
5,Recall,0.4476744186046512,0,train,Generative
5,Accuracy,0.853904282115869,0,train,Generative
6,MCC,0.5454796791302933,0,train,Generative
6,Precision,0.8974358974358975,0,train,Generative
6,Recall,0.4069767441860465,0,train,Generative
6,Accuracy,0.8614609571788413,0,train,Generative
7,MCC,0.5454796791302933,0,train,Generative
7,Precision,0.8974358974358975,0,train,Generative
7,Recall,0.4069767441860465,0,train,Generative
7,Accuracy,0.8614609571788413,0,train,Generative
8,MCC,0.5454796791302933,0,train,Generative
8,Precision,0.8974358974358975,0,train,Generative
8,Recall,0.4069767441860465,0,train,Generative
8,Accuracy,0.8614609571788413,0,train,Generative
9,MCC,0.5454796791302933,0,train,Generative
9,Precision,0.8974358974358975,0,train,Generative
9,Recall,0.4069767441860465,0,train,Generative
9,Accuracy,0.8614609571788413,0,train,Generative
10,MCC,0.5454796791302933,0,train,Generative
10,Precision,0.8974358974358975,0,train,Generative
10,Recall,0.4069767441860465,0,train,Generative
10,Accuracy,0.8614609571788413,0,train,Generative
11,MCC,0.5454796791302933,0,train,Generative
11,Precision,0.8974358974358975,0,train,Generative
11,Recall,0.4069767441860465,0,train,Generative
11,Accuracy,0.8614609571788413,0,train,Generative
12,MCC,0.5454796791302933,0,train,Generative
12,Precision,0.8974358974358975,0,train,Generative
12,Recall,0.4069767441860465,0,train,Generative
12,Accuracy,0.8614609571788413,0,train,Generative
13,MCC,0.5454796791302933,0,train,Generative
13,Precision,0.8974358974358975,0,train,Generative
13,Recall,0.4069767441860465,0,train,Generative
13,Accuracy,0.8614609571788413,0,train,Generative
14,MCC,0.5454796791302933,0,train,Generative
14,Precision,0.8974358974358975,0,train,Generative
14,Recall,0.4069767441860465,0,train,Generative
14,Accuracy,0.8614609571788413,0,train,Generative
15,MCC,0.5454796791302933,0,train,Generative
15,Precision,0.8974358974358975,0,train,Generative
15,Recall,0.4069767441860465,0,train,Generative
15,Accuracy,0.8614609571788413,0,train,Generative
16,MCC,0.5454796791302933,0,train,Generative
16,Precision,0.8974358974358975,0,train,Generative
16,Recall,0.4069767441860465,0,train,Generative
16,Accuracy,0.8614609571788413,0,train,Generative
17,MCC,0.5454796791302933,0,train,Generative
17,Precision,0.8974358974358975,0,train,Generative
17,Recall,0.4069767441860465,0,train,Generative
17,Accuracy,0.8614609571788413,0,train,Generative
18,MCC,0.5454796791302933,0,train,Generative
18,Precision,0.8974358974358975,0,train,Generative
18,Recall,0.4069767441860465,0,train,Generative
18,Accuracy,0.8614609571788413,0,train,Generative
19,MCC,0.5454796791302933,0,train,Generative
19,Precision,0.8974358974358975,0,train,Generative
19,Recall,0.4069767441860465,0,train,Generative
19,Accuracy,0.8614609571788413,0,train,Generative
20,MCC,0.5454796791302933,0,train,Generative
20,Precision,0.8974358974358975,0,train,Generative
20,Recall,0.4069767441860465,0,train,Generative
20,Accuracy,0.8614609571788413,0,train,Generative
21,MCC,0.5454796791302933,0,train,Generative
21,Precision,0.8974358974358975,0,train,Generative
21,Recall,0.4069767441860465,0,train,Generative
21,Accuracy,0.8614609571788413,0,train,Generative
22,MCC,0.5454796791302933,0,train,Generative
22,Precision,0.8974358974358975,0,train,Generative
22,Recall,0.4069767441860465,0,train,Generative
22,Accuracy,0.8614609571788413,0,train,Generative
23,MCC,0.5454796791302933,0,train,Generative
23,Precision,0.8974358974358975,0,train,Generative
23,Recall,0.4069767441860465,0,train,Generative
23,Accuracy,0.8614609571788413,0,train,Generative
24,MCC,0.5454796791302933,0,train,Generative
24,Precision,0.8974358974358975,0,train,Generative
24,Recall,0.4069767441860465,0,train,Generative
24,Accuracy,0.8614609571788413,0,train,Generative
25,MCC,0.5454796791302933,0,train,Generative
25,Precision,0.8974358974358975,0,train,Generative
25,Recall,0.4069767441860465,0,train,Generative
25,Accuracy,0.8614609571788413,0,train,Generative
26,MCC,0.5454796791302933,0,train,Generative
26,Precision,0.8974358974358975,0,train,Generative
26,Recall,0.4069767441860465,0,train,Generative
26,Accuracy,0.8614609571788413,0,train,Generative
27,MCC,0.5454796791302933,0,train,Generative
