Active Learning Iteration,Metric,Value,Run,Set,Model,Label
30,Precision,0.8974358974358975,0,train,Generative,AL
30,Recall,0.4069767441860465,0,train,Generative,AL
30,Accuracy,0.8614609571788413,0,train,Generative,AL
31,MCC,0.6129381696841567,0,train,Generative,AL
31,Precision,0.7952755905511811,0,train,Generative,AL
31,Recall,0.5872093023255814,0,train,Generative,AL
31,Accuracy,0.8778337531486146,0,train,Generative,AL
32,MCC,0.6129381696841567,0,train,Generative,AL
32,Precision,0.7952755905511811,0,train,Generative,AL
32,Recall,0.5872093023255814,0,train,Generative,AL
32,Accuracy,0.8778337531486146,0,train,Generative,AL
33,MCC,0.6129381696841567,0,train,Generative,AL
33,Precision,0.7952755905511811,0,train,Generative,AL
33,Recall,0.5872093023255814,0,train,Generative,AL
33,Accuracy,0.8778337531486146,0,train,Generative,AL
34,MCC,0.6129381696841567,0,train,Generative,AL
34,Precision,0.7952755905511811,0,train,Generative,AL
34,Recall,0.5872093023255814,0,train,Generative,AL
34,Accuracy,0.8778337531486146,0,train,Generative,AL
35,MCC,0.6129381696841567,0,train,Generative,AL
35,Precision,0.7952755905511811,0,train,Generative,AL
35,Recall,0.5872093023255814,0,train,Generative,AL
35,Accuracy,0.8778337531486146,0,train,Generative,AL
36,MCC,0.6129381696841567,0,train,Generative,AL
36,Precision,0.7952755905511811,0,train,Generative,AL
36,Recall,0.5872093023255814,0,train,Generative,AL
36,Accuracy,0.8778337531486146,0,train,Generative,AL
37,MCC,0.6129381696841567,0,train,Generative,AL
37,Precision,0.7952755905511811,0,train,Generative,AL
37,Recall,0.5872093023255814,0,train,Generative,AL
37,Accuracy,0.8778337531486146,0,train,Generative,AL
38,MCC,0.6129381696841567,0,train,Generative,AL
38,Precision,0.7952755905511811,0,train,Generative,AL
38,Recall,0.5872093023255814,0,train,Generative,AL
38,Accuracy,0.8778337531486146,0,train,Generative,AL
39,MCC,0.6129381696841567,0,train,Generative,AL
39,Precision,0.7952755905511811,0,train,Generative,AL
39,Recall,0.5872093023255814,0,train,Generative,AL
39,Accuracy,0.8778337531486146,0,train,Generative,AL
40,MCC,0.6129381696841567,0,train,Generative,AL
40,Precision,0.7952755905511811,0,train,Generative,AL
40,Recall,0.5872093023255814,0,train,Generative,AL
40,Accuracy,0.8778337531486146,0,train,Generative,AL
41,MCC,0.6129381696841567,0,train,Generative,AL
41,Precision,0.7952755905511811,0,train,Generative,AL
41,Recall,0.5872093023255814,0,train,Generative,AL
41,Accuracy,0.8778337531486146,0,train,Generative,AL
42,MCC,0.6129381696841567,0,train,Generative,AL
42,Precision,0.7952755905511811,0,train,Generative,AL
42,Recall,0.5872093023255814,0,train,Generative,AL
42,Accuracy,0.8778337531486146,0,train,Generative,AL
43,MCC,0.6129381696841567,0,train,Generative,AL
43,Precision,0.7952755905511811,0,train,Generative,AL
43,Recall,0.5872093023255814,0,train,Generative,AL
43,Accuracy,0.8778337531486146,0,train,Generative,AL
44,MCC,0.6129381696841567,0,train,Generative,AL
44,Precision,0.7952755905511811,0,train,Generative,AL
44,Recall,0.5872093023255814,0,train,Generative,AL
44,Accuracy,0.8778337531486146,0,train,Generative,AL
45,MCC,0.6129381696841567,0,train,Generative,AL
45,Precision,0.7952755905511811,0,train,Generative,AL
45,Recall,0.5872093023255814,0,train,Generative,AL
45,Accuracy,0.8778337531486146,0,train,Generative,AL
46,MCC,0.6129381696841567,0,train,Generative,AL
46,Precision,0.7952755905511811,0,train,Generative,AL
46,Recall,0.5872093023255814,0,train,Generative,AL
46,Accuracy,0.8778337531486146,0,train,Generative,AL
47,MCC,0.6129381696841567,0,train,Generative,AL
47,Precision,0.7952755905511811,0,train,Generative,AL
47,Recall,0.5872093023255814,0,train,Generative,AL
47,Accuracy,0.8778337531486146,0,train,Generative,AL
48,MCC,0.6129381696841567,0,train,Generative,AL
48,Precision,0.7952755905511811,0,train,Generative,AL
48,Recall,0.5872093023255814,0,train,Generative,AL
48,Accuracy,0.8778337531486146,0,train,Generative,AL
49,MCC,0.6129381696841567,0,train,Generative,AL
